Cohort ID	Likelihood Weights	Mortality Prob
0	1.18132001585e-103	0.133404400941
1	3.09223773281e-25	0.194064898688
2	3.85176513453e-65	0.0500228749635
3	1.77534833916e-18	0.110466514526
4	0.000257664751466	0.0793511781634
5	0.00011961225777	0.0684677189538
6	9.59923345283e-06	0.0872520422755
7	0.016806070624	0.119112145409
8	6.36957744903e-14	0.129353494846
9	2.07193129937e-16	0.157763346801
10	9.99247964066e-37	0.133838902881
11	1.70566271471e-25	0.187043900079
12	3.60245886548e-88	0.0908904499463
13	0.0083120965434	0.225623487278
14	1.43007961469e-115	0.0554775186396
15	7.94562645116e-13	0.184093502036
16	6.77187470559e-80	0.133460960473
17	4.51202531257e-22	0.161737965689
18	2.19008254078e-49	0.078077387719
19	1.03862939634e-05	0.089620297817
20	0.0119739205366	0.210148913735
21	4.49287663184e-88	0.243652315144
22	5.36918212096e-152	0.112684835632
23	9.19172993987e-12	0.188464523134
24	3.31635505207e-77	0.225277830459
25	1.90688044363e-109	0.228921332701
26	1.40821949102e-124	0.067008842274
27	8.01081834481e-12	0.0578109566466
28	7.07297766895e-10	0.0839660839129
29	0.0161579781345	0.225628500686
30	3.63212208042e-119	0.0696693667666
31	5.76805452139e-06	0.134221525001
32	1.44006774205e-17	0.24157790603
33	2.41439923413e-155	0.156633056995
34	6.32098644422e-38	0.18837542279
35	3.71284832436e-76	0.113103126201
36	4.28225191564e-07	0.187300185536
37	4.20113808911e-66	0.216925134379
38	6.61476089048e-113	0.0536576554688
39	3.45727537616e-20	0.200028862989
40	1.90217730468e-80	0.247772217781
41	2.11501468742e-149	0.199633130876
42	4.02994810292e-123	0.106088798413
43	3.49767200154e-06	0.20785586569
44	6.94885673076e-123	0.0706452013155
45	1.96453333062e-05	0.139578705235
46	1.95612704378e-21	0.231719100619
47	1.8392030673e-127	0.108722829675
48	4.26765338027e-10	0.107555067717
49	2.09930272523e-10	0.0760057144237
50	0.000195709245084	0.0538733915741
51	3.66688856874e-12	0.185767106588
52	4.99587960782e-66	0.0923256232
53	0.00626391108855	0.103109331874
54	0.000132590274891	0.148314631856
55	8.07342176305e-33	0.0606725090234
56	1.43170268109e-06	0.164823521098
57	6.6553502248e-52	0.0793457149812
58	0.0160988750323	0.167861107381
59	2.51867797932e-49	0.189951672004
60	6.30214010291e-73	0.0704668857656
61	2.56399654686e-05	0.132811197564
62	1.87649338341e-15	0.188880031546
63	1.91582395951e-79	0.132835853905
64	3.65689393545e-17	0.0599906917892
65	1.04658895271e-10	0.157179281183
66	3.7101540504e-41	0.182758929044
67	3.65056876279e-65	0.152977822412
68	6.86746715742e-33	0.238918951198
69	4.05317879326e-140	0.1673110081
70	2.49922469598e-41	0.230680383058
71	1.66756297323e-121	0.0774949408292
72	0.000326377794424	0.0778552694502
73	0.00661157053979	0.211478257742
74	1.4710508234e-93	0.129535367397
75	1.14340653699e-19	0.0830708394234
76	0.0097454009922	0.235501716079
77	1.79849886853e-153	0.119553171949
78	3.21256365386e-14	0.200162420627
79	2.33234298805e-86	0.19519959707
80	8.20584818544e-82	0.226661218241
81	3.41767725884e-117	0.174734441411
82	1.80205654562e-49	0.200188486805
83	1.26064699499e-90	0.119779668396
84	2.90347444425e-10	0.103985578353
85	1.13948395045e-05	0.229177243639
86	1.34622052486e-115	0.135618237974
87	3.84901780869e-26	0.24296800943
88	3.77055072714e-150	0.182688299564
89	2.85120595419e-63	0.174339144042
90	2.10707299955e-58	0.0729491945907
91	0.000731077689725	0.239897851741
92	2.60937665875e-124	0.139982426696
93	2.88524854298e-33	0.165677922877
94	4.7929174658e-46	0.131627360552
95	9.37795187234e-14	0.0974053960486
96	0.0122420019365	0.230675904112
97	1.20049452162e-110	0.164735897334
98	1.12557065817e-43	0.0505740654062
99	3.04158205174e-16	0.173428982724
100	8.97390214649e-58	0.115328980354
101	4.47141451209e-10	0.155411620452
102	1.09522142479e-39	0.227188419862
103	1.07489032534e-115	0.121453952
104	2.85869405029e-10	0.231707030184
105	4.7210178118e-117	0.174672023158
106	5.62693587132e-58	0.0531642485693
107	3.59224587768e-17	0.235887446749
108	5.14386301702e-144	0.188179383503
109	6.05505170202e-92	0.24946457009
110	1.27802468215e-154	0.0844681016691
111	0.0151019088691	0.0774271499258
112	0.0165558941423	0.236519092607
113	2.58054530984e-148	0.189363632298
114	1.50854976023e-73	0.0632000345444
115	2.5648472524e-05	0.20109261052
116	4.77471166276e-96	0.200775237692
117	1.2265345977e-95	0.234604907109
118	4.56705333188e-123	0.192304951726
119	1.05345601136e-90	0.0748541923944
120	1.9373145133e-05	0.053976026768
121	4.70062650362e-21	0.0552421973755
122	3.51495646814e-12	0.0556612976042
123	2.83024189528e-19	0.0992422135206
124	0.00468680047969	0.222005589737
125	4.79321391081e-112	0.157766212868
126	1.41779433781e-32	0.160564395737
127	1.5031510233e-48	0.218406178472
128	5.28467672922e-106	0.074834663024
129	0.00617047261342	0.105836735802
130	1.19312008291e-06	0.167151854292
131	3.27907041098e-60	0.243919149664
132	8.11218598304e-147	0.162206043851
133	8.83579626748e-51	0.0537294578746
134	3.55036587653e-17	0.210126534536
135	1.1797219239e-91	0.0965948547682
136	0.00200516452979	0.211421039124
137	6.82294463568e-102	0.127572128813
138	1.85474238889e-20	0.222708370912
139	3.38873443582e-122	0.199424328547
140	6.92451046416e-89	0.161248046798
141	4.43528058771e-42	0.0772910451321
142	0.00608868266465	0.0619835379024
143	2.66196500458e-06	0.0742686911481
144	0.00960148540197	0.058910375709
145	2.79505495911e-08	0.0714988258212
146	1.74217959716e-05	0.0951418677216
147	0.00521757594904	0.192597796077
148	6.695244989e-90	0.161943396411
149	9.56387068549e-51	0.0525111960318
150	3.55015923002e-17	0.0643948559379
151	2.05253801294e-07	0.243455266
152	4.16383036521e-165	0.163620092384
153	3.47602670918e-40	0.0906586469322
154	0.0014998255394	0.100465148914
155	2.13976828859e-06	0.198765170815
156	7.88430820662e-83	0.0890858962219
157	0.00759873351753	0.166271785455
158	1.42680501411e-45	0.244003997818
159	3.43427681498e-157	0.219365760298
160	2.67515336192e-112	0.0979695518295
161	0.000892366756863	0.148753942854
162	1.81536271976e-30	0.173991143676
163	6.70133213605e-73	0.21579617991
164	2.29331265504e-103	0.0813582789292
165	0.00199970120127	0.0537152404355
166	1.06577193207e-13	0.0640044287438
167	2.61524392906e-10	0.147269022187
168	8.19291516583e-34	0.171265892331
169	1.36509220288e-55	0.163770287417
170	7.63634625455e-45	0.113472481864
171	1.54578266606e-11	0.247723230882
172	7.10235896854e-159	0.165949043849
173	2.36270033405e-50	0.126028234525
174	1.51697599202e-13	0.160189643824
175	5.26413669028e-42	0.199066886181
176	6.57271093404e-83	0.183846578691
177	9.81614636827e-63	0.102983911533
178	8.33147142905e-06	0.0632669668857
179	7.56427479528e-10	0.124016839583
180	1.57133652514e-22	0.175943501404
181	6.94971143814e-58	0.092034801983
182	0.0121438112165	0.200551110748
183	3.14592699316e-71	0.0633072962708
184	8.35916603875e-10	0.102063019716
185	3.32848414905e-05	0.210950912749
186	5.00616273932e-117	0.0886868565247
187	0.00332810936939	0.177892176176
188	1.07947001529e-59	0.154934061825
189	1.2913262239e-38	0.23496159408
190	1.39952187128e-130	0.102659354097
191	0.000123192755512	0.0631922181368
192	1.59433731003e-14	0.197013192658
193	1.98852361836e-87	0.204435605909
194	5.32536219318e-95	0.231563170501
195	4.57499926321e-123	0.236394413839
196	1.85919143796e-149	0.0527903145951
197	5.04191579581e-22	0.0968724172243
198	0.00861141450174	0.1733556714
199	5.55817228828e-46	0.239803264138
200	2.60543714547e-135	0.240035223849
201	2.84210673884e-132	0.161330637639
202	2.05058825087e-53	0.233121269953
203	9.07798962137e-127	0.178313241789
204	1.88525732028e-58	0.128001542828
205	6.74406662385e-23	0.147198133419
206	6.240357428e-28	0.170862096584
207	3.19023449544e-54	0.159909584302
208	1.15677700142e-41	0.235236285341
209	2.06807873189e-155	0.233746687127
210	2.04108827739e-128	0.128975122585
211	1.81294015261e-20	0.242652505688
212	1.5039357155e-142	0.0847911333361
213	0.017432337073	0.0752659038879
214	0.000376667455796	0.0770158316093
215	0.000190186311348	0.151132433135
216	1.94295942144e-31	0.0543049610548
217	1.66704238815e-18	0.239594042244
218	1.61715929001e-126	0.215423094234
219	5.7992780299e-118	0.0530037961484
220	3.87158948539e-17	0.085239251115
221	0.0173579515856	0.116412714873
222	6.17938057946e-11	0.0761993689622
223	0.00892998735107	0.211898138425
224	7.62439988935e-104	0.118947330537
225	6.06070975813e-13	0.238021496467
226	1.97442998602e-134	0.166402835989
227	6.4571820519e-38	0.225766396882
228	5.56079042478e-126	0.218946889078
229	1.3189757303e-148	0.231078463742
